,moped_component_id,substantial_completion_date,pre_annualized_crash_rate,post_annualized_crash_rate
0,1,2022-10-10 05:00:00+00:00,0.14061259353721037,0.9516881988926285
1,2,2022-10-10 05:00:00+00:00,0.18130091576564672,1.1790181573638197
2,3,2022-10-10 05:00:00+00:00,0.15964524399841865,1.0589514375453009
3,4,2022-10-10 05:00:00+00:00,0.17083365282463397,1.1170009429394225
4,5,2022-10-10 05:00:00+00:00,0.18390852827021922,1.2825164594001464
6,9,2021-12-31 06:00:00+00:00,0.1672636278887199,0.899815233011702
13,22,2023-01-25 06:00:00+00:00,0.21980085475324154,1.078228782287823
16,28,2023-07-29 05:00:00+00:00,0.22991075016730644,1.77485320915165
19,31,2022-08-26 05:00:00+00:00,0.15459642993390244,0.8680067333399347
21,34,2022-07-12 05:00:00+00:00,0.15473143522849628,0.7235658274865868
26,42,2023-01-09 06:00:00+00:00,0.31426113142611317,1.1604447974583003
27,43,2021-12-16 06:00:00+00:00,0.14230535412601225,0.4714424007744433
29,45,2024-02-20 06:00:00+00:00,0.12428197264444495,6.112970711297071
30,48,2023-04-01 05:00:00+00:00,0.1424118716014083,1.4525269262634632
33,51,2022-03-31 05:00:00+00:00,0.19826602351131767,1.5922548770298253
34,52,2022-09-18 05:00:00+00:00,0.21635362934077054,6.108710801393728
36,55,2022-04-23 05:00:00+00:00,0.1288151533408767,1.2327380115314304
37,56,2022-04-23 05:00:00+00:00,0.19117351664736423,0.899353647276085
38,57,2022-03-25 05:00:00+00:00,0.22054217246367694,0.9349830105593564
39,58,2022-03-25 05:00:00+00:00,0.14911875095687083,3.5764993880048963
40,59,2022-03-25 05:00:00+00:00,0.16262522885442154,0.93324816352603
48,70,2023-09-04 05:00:00+00:00,0.14390098353818026,2.2475482340875583
52,74,2021-12-01 06:00:00+00:00,0.17073309392736336,0.7639215686274511
53,75,2021-12-01 06:00:00+00:00,0.17073309392736336,0.7998776206885447
54,77,2021-12-01 06:00:00+00:00,0.17073309392736336,0.7998776206885447
56,79,2023-01-02 06:00:00+00:00,0.14881942699597306,1.6428915662650603
58,82,2024-01-26 06:00:00+00:00,0.19445867618663862,4.88628762541806
59,83,2023-04-24 05:00:00+00:00,0.1557562216664029,1.7626174130353605
60,84,2023-06-14 05:00:00+00:00,0.17583436935721763,1.659643523652395
61,85,2023-08-28 05:00:00+00:00,0.14524828746381702,2.4832079569418655
67,91,2022-10-04 05:00:00+00:00,0.20000456318875628,1.2183460736622655
71,95,2022-10-06 05:00:00+00:00,0.1983423310670379,1.296170338607127
72,96,2022-10-06 05:00:00+00:00,0.17335264816741874,1.28417773734165
75,99,2024-04-16 05:00:00+00:00,0.15018506913518817,8.656922773059451
77,101,2024-04-16 05:00:00+00:00,0.15166820435099979,8.656922773059451
80,105,2022-07-04 05:00:00+00:00,0.1563053485752805,0.9056720735613184
81,107,2023-04-23 05:00:00+00:00,0.1412006728443783,1.5917922643907751
86,113,2023-08-25 05:00:00+00:00,0.14105954799028064,1.7688365147907503
87,114,2024-02-01 06:00:00+00:00,0.11632568283310832,3.3897911832946637
88,115,2023-08-25 05:00:00+00:00,0.19032229049257005,2.054370752284978
93,120,2023-05-04 05:00:00+00:00,0.18386664709002162,1.6176416312972872
98,126,2023-06-12 05:00:00+00:00,0.14812186343590003,2.6507408527366194
99,128,2023-06-12 05:00:00+00:00,0.19853690575951805,0.9693685723764237
101,130,2024-03-26 05:00:00+00:00,0.1570344589320674,6.058051140290256
104,133,2024-01-31 06:00:00+00:00,0.13428674272786137,9.805369127516778
105,135,2023-09-09 05:00:00+00:00,0.14233927766794807,2.551965065502183
110,140,2013-06-01 05:00:00+00:00,0.5902701633579074,0.20094690828384554
111,142,2010-06-15 05:00:00+00:00,5.020357161451554,0.15317934593534463
112,185,2012-09-10 05:00:00+00:00,0.7161281385527405,0.18364922052216498
113,187,2012-03-16 05:00:00+00:00,0.4984930338356554,0.22181562663624985
114,190,2016-07-10 05:00:00+00:00,0.33393214764673773,0.30538200337390914
115,191,2016-07-10 05:00:00+00:00,0.267737698909624,0.27440914071059636
116,192,2016-07-10 05:00:00+00:00,0.39297081633567943,2.0091680036672015
117,193,2016-07-10 05:00:00+00:00,0.29335806588867486,0.4384096024006002
